product_id,product_name,category,unit_price,supplier_id
PRD00081,Product 81,apparel,85.97,SUP0006
PRD00082,Product 82,sports,155.62,SUP0007
PRD00083,Product 83,sports,121.22,SUP0008
PRD00084,Product 84,apparel,68.69,SUP0009
PRD00085,Product 85,apparel,167.56,SUP0010
PRD00086,Product 86,apparel,223.72,SUP0011
PRD00087,Product 87,sports,247.24,SUP0012
PRD00088,Product 88,home,107.21,SUP0013
PRD00089,Product 89,apparel,116.26,SUP0014
PRD00090,Product 90,electronics,211.58,SUP0015
PRD00091,Product 91,apparel,44.14,SUP0016
PRD00092,Product 92,apparel,130.66,SUP0017
PRD00093,Product 93,grocery,84.84,SUP0018
PRD00094,Product 94,sports,61.73,SUP0019
PRD00095,Product 95,home,235.27,SUP0020
PRD00096,Product 96,grocery,129.23,SUP0021
PRD00097,Product 97,electronics,207.0,SUP0022
PRD00098,Product 98,sports,225.94,SUP0023
PRD00099,Product 99,apparel,66.04,SUP0024
PRD00100,Product 100,grocery,15.22,SUP0025
PRD00101,Product 101,home,10.97,SUP0001
PRD00102,Product 102,apparel,133.97,SUP0002
PRD00103,Product 103,electronics,84.55,SUP0003
PRD00104,Product 104,apparel,166.54,SUP0004
PRD00105,Product 105,home,63.27,SUP0005
PRD00106,Product 106,grocery,58.17,SUP0006
PRD00107,Product 107,sports,78.05,SUP0007
PRD00108,Product 108,apparel,136.58,SUP0008
PRD00109,Product 109,home,32.34,SUP0009
PRD00110,Product 110,apparel,42.98,SUP0010
PRD00111,Product 111,grocery,124.55,SUP0011
PRD00112,Product 112,apparel,126.37,SUP0012
PRD00113,Product 113,home,69.63,SUP0013
PRD00114,Product 114,apparel,107.32,SUP0014
PRD00115,Product 115,grocery,238.9,SUP0015
PRD00116,Product 116,electronics,44.53,SUP0016
PRD00117,Product 117,home,208.43,SUP0017
PRD00118,Product 118,apparel,215.26,SUP0018
PRD00119,Product 119,apparel,58.84,SUP0019
PRD00120,Product 120,sports,10.41,SUP0020
