order_item_id,order_id,product_id,quantity,line_total
OI0000101,ORD000101,PRD00108,4,546.32
OI0000102,ORD000102,PRD00115,1,238.9
OI0000103,ORD000103,PRD00002,2,421.9
OI0000104,ORD000104,PRD00009,2,21.94
OI0000105,ORD000105,PRD00016,5,298.3
OI0000106,ORD000106,PRD00023,3,356.73
OI0000107,ORD000107,PRD00030,2,373.42
OI0000108,ORD000108,PRD00037,3,407.43
OI0000109,ORD000109,PRD00044,1,137.35
OI0000110,ORD000110,PRD00051,2,12.22
OI0000111,ORD000111,PRD00058,4,943.44
OI0000112,ORD000112,PRD00065,1,45.12
OI0000113,ORD000113,PRD00072,2,446.7
OI0000114,ORD000114,PRD00079,1,236.23
OI0000115,ORD000115,PRD00086,2,447.44
OI0000116,ORD000116,PRD00093,5,424.2
OI0000117,ORD000117,PRD00100,5,76.1
OI0000118,ORD000118,PRD00107,3,234.15
OI0000119,ORD000119,PRD00114,4,429.28
OI0000120,ORD000120,PRD00001,3,559.05
OI0000121,ORD000121,PRD00008,3,287.88
OI0000122,ORD000122,PRD00015,5,521.3
OI0000123,ORD000123,PRD00022,4,85.44
OI0000124,ORD000124,PRD00029,5,935.8
OI0000125,ORD000125,PRD00036,5,327.2
OI0000126,ORD000126,PRD00043,1,99.41
OI0000127,ORD000127,PRD00050,2,133.0
OI0000128,ORD000128,PRD00057,5,1161.65
OI0000129,ORD000129,PRD00064,5,871.9
OI0000130,ORD000130,PRD00071,2,315.28
OI0000131,ORD000131,PRD00078,5,772.5
OI0000132,ORD000132,PRD00085,1,167.56
OI0000133,ORD000133,PRD00092,1,130.66
OI0000134,ORD000134,PRD00099,4,264.16
OI0000135,ORD000135,PRD00106,1,58.17
OI0000136,ORD000136,PRD00113,4,278.52
OI0000137,ORD000137,PRD00120,1,10.41
OI0000138,ORD000138,PRD00007,1,89.22
OI0000139,ORD000139,PRD00014,5,1077.6
OI0000140,ORD000140,PRD00021,5,1239.2
OI0000141,ORD000141,PRD00028,1,147.67
OI0000142,ORD000142,PRD00035,1,235.03
OI0000143,ORD000143,PRD00042,3,85.38
OI0000144,ORD000144,PRD00049,2,332.28
OI0000145,ORD000145,PRD00056,1,52.66
OI0000146,ORD000146,PRD00063,3,671.37
OI0000147,ORD000147,PRD00070,3,229.65
OI0000148,ORD000148,PRD00077,5,57.4
OI0000149,ORD000149,PRD00084,3,206.07
OI0000150,ORD000150,PRD00091,5,220.7
OI0000151,ORD000151,PRD00098,2,451.88
OI0000152,ORD000152,PRD00105,5,316.35
OI0000153,ORD000153,PRD00112,5,631.85
OI0000154,ORD000154,PRD00119,1,58.84
OI0000155,ORD000155,PRD00006,2,270.68
OI0000156,ORD000156,PRD00013,5,378.95
OI0000157,ORD000157,PRD00020,5,1235.75
OI0000158,ORD000158,PRD00027,2,385.86
OI0000159,ORD000159,PRD00034,5,784.7
OI0000160,ORD000160,PRD00041,1,172.43
OI0000161,ORD000161,PRD00048,1,234.61
OI0000162,ORD000162,PRD00055,4,797.36
OI0000163,ORD000163,PRD00062,4,917.92
OI0000164,ORD000164,PRD00069,1,79.03
OI0000165,ORD000165,PRD00076,4,366.28
OI0000166,ORD000166,PRD00083,4,484.88
OI0000167,ORD000167,PRD00090,3,634.74
OI0000168,ORD000168,PRD00097,3,621.0
OI0000169,ORD000169,PRD00104,1,166.54
OI0000170,ORD000170,PRD00111,3,373.65
OI0000171,ORD000171,PRD00118,5,1076.3
OI0000172,ORD000172,PRD00005,1,158.94
OI0000173,ORD000173,PRD00012,1,64.21
OI0000174,ORD000174,PRD00019,1,15.68
OI0000175,ORD000175,PRD00026,3,286.59
OI0000176,ORD000176,PRD00033,3,390.66
OI0000177,ORD000177,PRD00040,1,15.77
OI0000178,ORD000178,PRD00047,2,191.42
OI0000179,ORD000179,PRD00054,4,432.6
OI0000180,ORD000180,PRD00061,1,13.78
OI0000181,ORD000181,PRD00068,5,605.7
OI0000182,ORD000182,PRD00075,4,941.48
OI0000183,ORD000183,PRD00082,4,622.48
OI0000184,ORD000184,PRD00089,5,581.3
OI0000185,ORD000185,PRD00096,4,516.92
OI0000186,ORD000186,PRD00103,3,253.65
OI0000187,ORD000187,PRD00110,5,214.9
OI0000188,ORD000188,PRD00117,4,833.72
OI0000189,ORD000189,PRD00004,1,211.93
OI0000190,ORD000190,PRD00011,2,457.94
OI0000191,ORD000191,PRD00018,1,12.98
OI0000192,ORD000192,PRD00025,4,977.12
OI0000193,ORD000193,PRD00032,4,857.48
OI0000194,ORD000194,PRD00039,1,228.11
OI0000195,ORD000195,PRD00046,5,726.15
OI0000196,ORD000196,PRD00053,4,364.96
OI0000197,ORD000197,PRD00060,5,994.45
OI0000198,ORD000198,PRD00067,4,167.76
OI0000199,ORD000199,PRD00074,5,1204.8
OI0000200,ORD000200,PRD00081,2,171.94
OI0000201,ORD000201,PRD00088,2,214.42
OI0000202,ORD000202,PRD00095,3,705.81
OI0000203,ORD000203,PRD00102,2,267.94
OI0000204,ORD000204,PRD00109,2,64.68
OI0000205,ORD000205,PRD00116,2,89.06
OI0000206,ORD000206,PRD00003,4,180.96
OI0000207,ORD000207,PRD00010,2,359.88
OI0000208,ORD000208,PRD00017,1,70.87
OI0000209,ORD000209,PRD00024,3,235.86
OI0000210,ORD000210,PRD00031,2,71.7
OI0000211,ORD000211,PRD00038,2,249.82
OI0000212,ORD000212,PRD00045,5,607.75
OI0000213,ORD000213,PRD00052,5,48.0
OI0000214,ORD000214,PRD00059,3,715.41
OI0000215,ORD000215,PRD00066,1,30.1
OI0000216,ORD000216,PRD00073,3,357.84
OI0000217,ORD000217,PRD00080,3,81.99
OI0000218,ORD000218,PRD00087,5,1236.2
OI0000219,ORD000219,PRD00094,4,246.92
OI0000220,ORD000220,PRD00101,1,10.97
OI0000221,ORD000221,PRD00108,5,682.9
OI0000222,ORD000222,PRD00115,3,716.7
OI0000223,ORD000223,PRD00002,5,1054.75
OI0000224,ORD000224,PRD00009,5,54.85
OI0000225,ORD000225,PRD00016,3,178.98
OI0000226,ORD000226,PRD00023,2,237.82
OI0000227,ORD000227,PRD00030,2,373.42
OI0000228,ORD000228,PRD00037,5,679.05
OI0000229,ORD000229,PRD00044,3,412.05
OI0000230,ORD000230,PRD00051,2,12.22
OI0000231,ORD000231,PRD00058,2,471.72
OI0000232,ORD000232,PRD00065,3,135.36
OI0000233,ORD000233,PRD00072,2,446.7
OI0000234,ORD000234,PRD00079,4,944.92
OI0000235,ORD000235,PRD00086,2,447.44
OI0000236,ORD000236,PRD00093,4,339.36
OI0000237,ORD000237,PRD00100,4,60.88
OI0000238,ORD000238,PRD00107,5,390.25
OI0000239,ORD000239,PRD00114,2,214.64
OI0000240,ORD000240,PRD00001,4,745.4
OI0000241,ORD000241,PRD00008,2,191.92
OI0000242,ORD000242,PRD00015,5,521.3
OI0000243,ORD000243,PRD00022,3,64.08
OI0000244,ORD000244,PRD00029,1,187.16
OI0000245,ORD000245,PRD00036,5,327.2
OI0000246,ORD000246,PRD00043,5,497.05
OI0000247,ORD000247,PRD00050,2,133.0
OI0000248,ORD000248,PRD00057,1,232.33
OI0000249,ORD000249,PRD00064,4,697.52
OI0000250,ORD000250,PRD00071,5,788.2
OI0000251,ORD000251,PRD00078,2,309.0
OI0000252,ORD000252,PRD00085,3,502.68
OI0000253,ORD000253,PRD00092,2,261.32
OI0000254,ORD000254,PRD00099,4,264.16
OI0000255,ORD000255,PRD00106,2,116.34
OI0000256,ORD000256,PRD00113,3,208.89
OI0000257,ORD000257,PRD00120,1,10.41
OI0000258,ORD000258,PRD00007,1,89.22
OI0000259,ORD000259,PRD00014,2,431.04
OI0000260,ORD000260,PRD00021,4,991.36
OI0000261,ORD000261,PRD00028,5,738.35
OI0000262,ORD000262,PRD00035,4,940.12
OI0000263,ORD000263,PRD00042,3,85.38
OI0000264,ORD000264,PRD00049,5,830.7
OI0000265,ORD000265,PRD00056,3,157.98
OI0000266,ORD000266,PRD00063,3,671.37
OI0000267,ORD000267,PRD00070,3,229.65
OI0000268,ORD000268,PRD00077,3,34.44
OI0000269,ORD000269,PRD00084,3,206.07
OI0000270,ORD000270,PRD00091,1,44.14
OI0000271,ORD000271,PRD00098,4,903.76
OI0000272,ORD000272,PRD00105,4,253.08
OI0000273,ORD000273,PRD00112,1,126.37
OI0000274,ORD000274,PRD00119,5,294.2
OI0000275,ORD000275,PRD00006,5,676.7
OI0000276,ORD000276,PRD00013,5,378.95
OI0000277,ORD000277,PRD00020,4,988.6
OI0000278,ORD000278,PRD00027,4,771.72
OI0000279,ORD000279,PRD00034,2,313.88
OI0000280,ORD000280,PRD00041,5,862.15
OI0000281,ORD000281,PRD00048,2,469.22
OI0000282,ORD000282,PRD00055,2,398.68
OI0000283,ORD000283,PRD00062,2,458.96
OI0000284,ORD000284,PRD00069,1,79.03
OI0000285,ORD000285,PRD00076,3,274.71
OI0000286,ORD000286,PRD00083,4,484.88
OI0000287,ORD000287,PRD00090,5,1057.9
OI0000288,ORD000288,PRD00097,4,828.0
OI0000289,ORD000289,PRD00104,2,333.08
OI0000290,ORD000290,PRD00111,4,498.2
OI0000291,ORD000291,PRD00118,4,861.04
OI0000292,ORD000292,PRD00005,1,158.94
OI0000293,ORD000293,PRD00012,1,64.21
OI0000294,ORD000294,PRD00019,2,31.36
OI0000295,ORD000295,PRD00026,3,286.59
OI0000296,ORD000296,PRD00033,5,651.1
OI0000297,ORD000297,PRD00040,2,31.54
OI0000298,ORD000298,PRD00047,2,191.42
OI0000299,ORD000299,PRD00054,2,216.3
OI0000300,ORD000300,PRD00061,3,41.34
OI0000301,ORD000301,PRD00068,4,484.56
OI0000302,ORD000302,PRD00075,5,1176.85
OI0000303,ORD000303,PRD00082,3,466.86
OI0000304,ORD000304,PRD00089,2,232.52
OI0000305,ORD000305,PRD00096,2,258.46
OI0000306,ORD000306,PRD00103,2,169.1
OI0000307,ORD000307,PRD00110,4,171.92
OI0000308,ORD000308,PRD00117,4,833.72
OI0000309,ORD000309,PRD00004,3,635.79
OI0000310,ORD000310,PRD00011,2,457.94
OI0000311,ORD000311,PRD00018,2,25.96
OI0000312,ORD000312,PRD00025,3,732.84
OI0000313,ORD000313,PRD00032,1,214.37
OI0000314,ORD000314,PRD00039,3,684.33
OI0000315,ORD000315,PRD00046,5,726.15
OI0000316,ORD000316,PRD00053,2,182.48
OI0000317,ORD000317,PRD00060,3,596.67
OI0000318,ORD000318,PRD00067,4,167.76
OI0000319,ORD000319,PRD00074,1,240.96
OI0000320,ORD000320,PRD00081,3,257.91
OI0000321,ORD000321,PRD00088,3,321.63
OI0000322,ORD000322,PRD00095,1,235.27
OI0000323,ORD000323,PRD00102,1,133.97
OI0000324,ORD000324,PRD00109,3,97.02
OI0000325,ORD000325,PRD00116,5,222.65
OI0000326,ORD000326,PRD00003,3,135.72
OI0000327,ORD000327,PRD00010,4,719.76
OI0000328,ORD000328,PRD00017,5,354.35
OI0000329,ORD000329,PRD00024,2,157.24
OI0000330,ORD000330,PRD00031,2,71.7
OI0000331,ORD000331,PRD00038,4,499.64
OI0000332,ORD000332,PRD00045,1,121.55
OI0000333,ORD000333,PRD00052,3,28.8
OI0000334,ORD000334,PRD00059,3,715.41
OI0000335,ORD000335,PRD00066,3,90.3
OI0000336,ORD000336,PRD00073,5,596.4
OI0000337,ORD000337,PRD00080,5,136.65
OI0000338,ORD000338,PRD00087,5,1236.2
OI0000339,ORD000339,PRD00094,5,308.65
OI0000340,ORD000340,PRD00101,5,54.85
OI0000341,ORD000341,PRD00108,4,546.32
OI0000342,ORD000342,PRD00115,1,238.9
OI0000343,ORD000343,PRD00002,5,1054.75
OI0000344,ORD000344,PRD00009,3,32.91
OI0000345,ORD000345,PRD00016,2,119.32
OI0000346,ORD000346,PRD00023,1,118.91
OI0000347,ORD000347,PRD00030,4,746.84
OI0000348,ORD000348,PRD00037,5,679.05
OI0000349,ORD000349,PRD00044,3,412.05
OI0000350,ORD000350,PRD00051,1,6.11
OI0000351,ORD000351,PRD00058,3,707.58
OI0000352,ORD000352,PRD00065,1,45.12
OI0000353,ORD000353,PRD00072,1,223.35
OI0000354,ORD000354,PRD00079,5,1181.15
OI0000355,ORD000355,PRD00086,4,894.88
OI0000356,ORD000356,PRD00093,1,84.84
OI0000357,ORD000357,PRD00100,3,45.66
OI0000358,ORD000358,PRD00107,5,390.25
OI0000359,ORD000359,PRD00114,5,536.6
OI0000360,ORD000360,PRD00001,5,931.75
OI0000361,ORD000361,PRD00008,1,95.96
OI0000362,ORD000362,PRD00015,3,312.78
OI0000363,ORD000363,PRD00022,3,64.08
OI0000364,ORD000364,PRD00029,3,561.48
OI0000365,ORD000365,PRD00036,4,261.76
OI0000366,ORD000366,PRD00043,4,397.64
OI0000367,ORD000367,PRD00050,4,266.0
OI0000368,ORD000368,PRD00057,2,464.66
OI0000369,ORD000369,PRD00064,1,174.38
OI0000370,ORD000370,PRD00071,3,472.92
OI0000371,ORD000371,PRD00078,4,618.0
OI0000372,ORD000372,PRD00085,5,837.8
OI0000373,ORD000373,PRD00092,4,522.64
OI0000374,ORD000374,PRD00099,2,132.08
OI0000375,ORD000375,PRD00106,3,174.51
OI0000376,ORD000376,PRD00113,3,208.89
OI0000377,ORD000377,PRD00120,2,20.82
OI0000378,ORD000378,PRD00007,4,356.88
OI0000379,ORD000379,PRD00014,3,646.56
OI0000380,ORD000380,PRD00021,4,991.36
OI0000381,ORD000381,PRD00028,3,443.01
OI0000382,ORD000382,PRD00035,3,705.09
OI0000383,ORD000383,PRD00042,1,28.46
OI0000384,ORD000384,PRD00049,1,166.14
OI0000385,ORD000385,PRD00056,1,52.66
OI0000386,ORD000386,PRD00063,4,895.16
OI0000387,ORD000387,PRD00070,5,382.75
OI0000388,ORD000388,PRD00077,1,11.48
OI0000389,ORD000389,PRD00084,2,137.38
OI0000390,ORD000390,PRD00091,3,132.42
OI0000391,ORD000391,PRD00098,4,903.76
OI0000392,ORD000392,PRD00105,5,316.35
OI0000393,ORD000393,PRD00112,1,126.37
OI0000394,ORD000394,PRD00119,5,294.2
OI0000395,ORD000395,PRD00006,1,135.34
OI0000396,ORD000396,PRD00013,2,151.58
OI0000397,ORD000397,PRD00020,5,1235.75
OI0000398,ORD000398,PRD00027,3,578.79
OI0000399,ORD000399,PRD00034,1,156.94
OI0000400,ORD000400,PRD00041,5,862.15
OI0000401,ORD000401,PRD00048,3,703.83
OI0000402,ORD000402,PRD00055,4,797.36
OI0000403,ORD000403,PRD00062,4,917.92
OI0000404,ORD000404,PRD00069,1,79.03
OI0000405,ORD000405,PRD00076,3,274.71
OI0000406,ORD000406,PRD00083,5,606.1
OI0000407,ORD000407,PRD00090,3,634.74
OI0000408,ORD000408,PRD00097,5,1035.0
OI0000409,ORD000409,PRD00104,1,166.54
OI0000410,ORD000410,PRD00111,1,124.55
OI0000411,ORD000411,PRD00118,3,645.78
OI0000412,ORD000412,PRD00005,3,476.82
OI0000413,ORD000413,PRD00012,5,321.05
OI0000414,ORD000414,PRD00019,3,47.04
OI0000415,ORD000415,PRD00026,1,95.53
OI0000416,ORD000416,PRD00033,1,130.22
OI0000417,ORD000417,PRD00040,3,47.31
OI0000418,ORD000418,PRD00047,1,95.71
OI0000419,ORD000419,PRD00054,3,324.45
OI0000420,ORD000420,PRD00061,3,41.34
OI0000421,ORD000421,PRD00068,2,242.28
OI0000422,ORD000422,PRD00075,5,1176.85
OI0000423,ORD000423,PRD00082,5,778.1
OI0000424,ORD000424,PRD00089,5,581.3
OI0000425,ORD000425,PRD00096,3,387.69
OI0000426,ORD000426,PRD00103,4,338.2
OI0000427,ORD000427,PRD00110,4,171.92
OI0000428,ORD000428,PRD00117,2,416.86
OI0000429,ORD000429,PRD00004,2,423.86
OI0000430,ORD000430,PRD00011,1,228.97
OI0000431,ORD000431,PRD00018,5,64.9
OI0000432,ORD000432,PRD00025,5,1221.4
OI0000433,ORD000433,PRD00032,2,428.74
OI0000434,ORD000434,PRD00039,4,912.44
OI0000435,ORD000435,PRD00046,4,580.92
OI0000436,ORD000436,PRD00053,3,273.72
OI0000437,ORD000437,PRD00060,4,795.56
OI0000438,ORD000438,PRD00067,3,125.82
OI0000439,ORD000439,PRD00074,5,1204.8
OI0000440,ORD000440,PRD00081,2,171.94
OI0000441,ORD000441,PRD00088,1,107.21
OI0000442,ORD000442,PRD00095,4,941.08
OI0000443,ORD000443,PRD00102,5,669.85
OI0000444,ORD000444,PRD00109,1,32.34
OI0000445,ORD000445,PRD00116,3,133.59
OI0000446,ORD000446,PRD00003,2,90.48
OI0000447,ORD000447,PRD00010,2,359.88
OI0000448,ORD000448,PRD00017,1,70.87
OI0000449,ORD000449,PRD00024,4,314.48
OI0000450,ORD000450,PRD00031,4,143.4
OI0000451,ORD000451,PRD00038,1,124.91
OI0000452,ORD000452,PRD00045,4,486.2
OI0000453,ORD000453,PRD00052,2,19.2
OI0000454,ORD000454,PRD00059,2,476.94
OI0000455,ORD000455,PRD00066,3,90.3
OI0000456,ORD000456,PRD00073,3,357.84
OI0000457,ORD000457,PRD00080,4,109.32
OI0000458,ORD000458,PRD00087,1,247.24
OI0000459,ORD000459,PRD00094,5,308.65
OI0000460,ORD000460,PRD00101,2,21.94
OI0000461,ORD000461,PRD00108,3,409.74
OI0000462,ORD000462,PRD00115,5,1194.5
OI0000463,ORD000463,PRD00002,5,1054.75
OI0000464,ORD000464,PRD00009,5,54.85
OI0000465,ORD000465,PRD00016,1,59.66
OI0000466,ORD000466,PRD00023,5,594.55
OI0000467,ORD000467,PRD00030,5,933.55
OI0000468,ORD000468,PRD00037,5,679.05
OI0000469,ORD000469,PRD00044,2,274.7
OI0000470,ORD000470,PRD00051,3,18.33
OI0000471,ORD000471,PRD00058,5,1179.3
OI0000472,ORD000472,PRD00065,5,225.6
OI0000473,ORD000473,PRD00072,3,670.05
OI0000474,ORD000474,PRD00079,1,236.23
OI0000475,ORD000475,PRD00086,4,894.88
OI0000476,ORD000476,PRD00093,1,84.84
OI0000477,ORD000477,PRD00100,3,45.66
OI0000478,ORD000478,PRD00107,2,156.1
OI0000479,ORD000479,PRD00114,2,214.64
OI0000480,ORD000480,PRD00001,4,745.4
OI0000481,ORD000481,PRD00008,1,95.96
OI0000482,ORD000482,PRD00015,2,208.52
OI0000483,ORD000483,PRD00022,4,85.44
OI0000484,ORD000484,PRD00029,1,187.16
OI0000485,ORD000485,PRD00036,2,130.88
OI0000486,ORD000486,PRD00043,2,198.82
OI0000487,ORD000487,PRD00050,5,332.5
OI0000488,ORD000488,PRD00057,3,696.99
OI0000489,ORD000489,PRD00064,4,697.52
OI0000490,ORD000490,PRD00071,1,157.64
OI0000491,ORD000491,PRD00078,1,154.5
OI0000492,ORD000492,PRD00085,4,670.24
OI0000493,ORD000493,PRD00092,3,391.98
OI0000494,ORD000494,PRD00099,4,264.16
OI0000495,ORD000495,PRD00106,1,58.17
OI0000496,ORD000496,PRD00113,4,278.52
OI0000497,ORD000497,PRD00120,2,20.82
OI0000498,ORD000498,PRD00007,2,178.44
OI0000499,ORD000499,PRD00014,2,431.04
OI0000500,ORD000500,PRD00021,1,247.84
OI0000501,ORD000501,PRD00028,1,147.67
OI0000502,ORD000502,PRD00035,5,1175.15
OI0000503,ORD000503,PRD00042,4,113.84
OI0000504,ORD000504,PRD00049,3,498.42
OI0000505,ORD000505,PRD00056,4,210.64
OI0000506,ORD000506,PRD00063,4,895.16
OI0000507,ORD000507,PRD00070,1,76.55
OI0000508,ORD000508,PRD00077,4,45.92
OI0000509,ORD000509,PRD00084,1,68.69
OI0000510,ORD000510,PRD00091,4,176.56
OI0000511,ORD000511,PRD00098,5,1129.7
OI0000512,ORD000512,PRD00105,5,316.35
OI0000513,ORD000513,PRD00112,5,631.85
OI0000514,ORD000514,PRD00119,2,117.68
OI0000515,ORD000515,PRD00006,3,406.02
OI0000516,ORD000516,PRD00013,4,303.16
OI0000517,ORD000517,PRD00020,5,1235.75
OI0000518,ORD000518,PRD00027,1,192.93
OI0000519,ORD000519,PRD00034,1,156.94
OI0000520,ORD000520,PRD00041,5,862.15
OI0000521,ORD000521,PRD00048,1,234.61
OI0000522,ORD000522,PRD00055,1,199.34
OI0000523,ORD000523,PRD00062,2,458.96
OI0000524,ORD000524,PRD00069,3,237.09
OI0000525,ORD000525,PRD00076,2,183.14
OI0000526,ORD000526,PRD00083,4,484.88
OI0000527,ORD000527,PRD00090,4,846.32
OI0000528,ORD000528,PRD00097,3,621.0
OI0000529,ORD000529,PRD00104,3,499.62
OI0000530,ORD000530,PRD00111,2,249.1
OI0000531,ORD000531,PRD00118,2,430.52
OI0000532,ORD000532,PRD00005,5,794.7
OI0000533,ORD000533,PRD00012,4,256.84
OI0000534,ORD000534,PRD00019,1,15.68
OI0000535,ORD000535,PRD00026,2,191.06
OI0000536,ORD000536,PRD00033,1,130.22
OI0000537,ORD000537,PRD00040,2,31.54
OI0000538,ORD000538,PRD00047,2,191.42
OI0000539,ORD000539,PRD00054,3,324.45
OI0000540,ORD000540,PRD00061,4,55.12
OI0000541,ORD000541,PRD00068,1,121.14
OI0000542,ORD000542,PRD00075,5,1176.85
OI0000543,ORD000543,PRD00082,4,622.48
OI0000544,ORD000544,PRD00089,5,581.3
OI0000545,ORD000545,PRD00096,2,258.46
OI0000546,ORD000546,PRD00103,1,84.55
OI0000547,ORD000547,PRD00110,3,128.94
OI0000548,ORD000548,PRD00117,5,1042.15
OI0000549,ORD000549,PRD00004,1,211.93
OI0000550,ORD000550,PRD00011,1,228.97
OI0000551,ORD000551,PRD00018,3,38.94
OI0000552,ORD000552,PRD00025,3,732.84
OI0000553,ORD000553,PRD00032,4,857.48
OI0000554,ORD000554,PRD00039,5,1140.55
OI0000555,ORD000555,PRD00046,2,290.46
OI0000556,ORD000556,PRD00053,5,456.2
OI0000557,ORD000557,PRD00060,3,596.67
OI0000558,ORD000558,PRD00067,4,167.76
OI0000559,ORD000559,PRD00074,1,240.96
OI0000560,ORD000560,PRD00081,1,85.97
OI0000561,ORD000561,PRD00088,5,536.05
OI0000562,ORD000562,PRD00095,3,705.81
OI0000563,ORD000563,PRD00102,5,669.85
OI0000564,ORD000564,PRD00109,2,64.68
OI0000565,ORD000565,PRD00116,5,222.65
OI0000566,ORD000566,PRD00003,3,135.72
OI0000567,ORD000567,PRD00010,5,899.7
OI0000568,ORD000568,PRD00017,5,354.35
OI0000569,ORD000569,PRD00024,3,235.86
OI0000570,ORD000570,PRD00031,4,143.4
OI0000571,ORD000571,PRD00038,2,249.82
OI0000572,ORD000572,PRD00045,2,243.1
OI0000573,ORD000573,PRD00052,3,28.8
OI0000574,ORD000574,PRD00059,5,1192.35
OI0000575,ORD000575,PRD00066,2,60.2
OI0000576,ORD000576,PRD00073,3,357.84
OI0000577,ORD000577,PRD00080,5,136.65
OI0000578,ORD000578,PRD00087,5,1236.2
OI0000579,ORD000579,PRD00094,4,246.92
OI0000580,ORD000580,PRD00101,3,32.91
